data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,renda_log,curso_superior,faixa_etaria,faixa_tempo_emprego
2015-01-01,15056,F,False,True,0,Empresário,Secundário,Solteiro,Casa,26,6.602739726027397,1.0,8060.34,8.994711018233799,False,Jovem,6 - 11
2015-01-01,9968,M,True,True,0,Assalariado,Superior completo,Casado,Casa,28,7.183561643835616,2.0,1852.15,7.524102405446845,True,Jovem,6 - 11
2015-01-01,4312,F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,2253.89,7.720412891279311,True,Adulto,0 - 5
2015-01-01,10639,F,False,True,1,Servidor público,Superior completo,Casado,Casa,30,4.846575342465753,3.0,6600.77,8.794941587876158,True,Adulto,0 - 5
2015-01-01,7064,M,True,False,0,Assalariado,Secundário,Solteiro,Governamental,33,4.293150684931507,1.0,6475.97,8.775853682297605,False,Adulto,0 - 5
2015-01-01,10581,F,False,True,0,Assalariado,Superior completo,Casado,Casa,39,4.345205479452055,2.0,1445.87,7.2764664954959875,True,Adulto,0 - 5
2015-01-01,7129,F,False,True,0,Empresário,Superior completo,Viúvo,Casa,55,6.3780821917808215,1.0,1726.03,7.453579252720595,True,Adulto,6 - 11
2015-01-01,9952,F,False,True,0,Empresário,Secundário,Casado,Casa,36,3.104109589041096,2.0,2515.98,7.830417668663141,False,Adulto,0 - 5
2015-01-01,8070,M,True,True,0,Assalariado,Superior completo,Casado,Casa,60,10.558904109589042,2.0,12939.14,9.468012105258962,True,Idoso,6 - 11
2015-01-01,2221,M,False,False,0,Empresário,Secundário,Casado,Casa,39,2.0876712328767124,2.0,6402.41,8.764429760965898,False,Adulto,0 - 5
2015-01-01,6881,F,False,True,0,Pensionista,Secundário,Casado,Casa,65,0.0,2.0,1685.51,7.429823467614095,False,Idoso,Pensionista
2015-01-01,2448,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,60,0.0,1.0,6343.52,8.755189098409293,False,Idoso,Pensionista
2015-01-01,12517,F,True,False,0,Assalariado,Superior completo,Casado,Casa,41,15.04109589041096,2.0,581.18,6.365060519541752,True,Adulto,12 - 17
